,Case Number,Date,Year,Month,Hour,Place,Area,Location,Activity,Sex,Fatal
5086,1915.12.09.R,1915.12.09,1915,12,Unknown,AUSTRALIA,Torres Strait,Thursday Island,Diving,M,0
5087,1915.11.10,1915.11.10,1915,11,Unknown,AUSTRALIA,Queensland,"Cabbage Tree Creek, Sandgate",Others,M,0
5088,1915.11.08,1915.11.08,1915,11,Unknown,AUSTRALIA,New South Wales,Manly,Others,M,0
5089,1915.08.03,1915.08.03,1915,08,Unknown,USA,Florida,"St. Augustine, St Johns County",Others,M,0
5090,1915.07.06.a.R,1915.07.06.a,1915,07,Unknown,MEXICO,Tamaulipas,Tampico,Fishing,M,1
5091,1915.07.06.a.R,1915.07.06.a,1915,07,Unknown,MEXICO,,Santa Maria Bar,Others,M,1
5092,1915.05.15.R,1915.05.15,1915,05,Unknown,EGYPT,,Alexandria,Others,M,1
5093,1915.03.29,1915.03.29,1915,03,Unknown,AUSTRALIA,Torres Strait,Near Thursday Island,Surfing,M,0
5094,1915.02.06,1915.02.06,1915,02,Unknown,AUSTRALIA,Queensland,Wynnum-Manley,Swimming,M,0
5095,1915.01.13,1915.01.13,1915,01,Unknown,NEW ZEALAND,North Island,Otaki,Fishing,M,1
5096,1915.01.01,1915.01.01,1915,01,Unknown,AUSTRALIA,New South Wales,"Sirius Cove, Sydney Harbor",Others,M,1
5098,1914.12.04.R,1914.12.04,1914,12,Unknown,AUSTRALIA,Queensland,Magnetic Island,Swimming,M,0
5099,1914.10.17,1914.10.17,1914,10,Unknown,SAMOA,Apolima Strait,Opposite Apelima &  Manona,Others,F,0
5100,1914.09.26.R,1914.09.26,1914,09,Unknown,JAMAICA,Kingston Parish,Port Royal,Others,M,1
5101,1914.09.09,1914.09.09,1914,09,Unknown,USA,Louisiana,Lake Pontchartrain,Swimming,M,1
5102,1914.07.15.R,1914.07.15,1914,07,Unknown,CROATIA,Zadar County,Biograd na moru,Others,F,0
5103,1914.07.09.R,1914.07.09,1914,07,Unknown,USA,Louisiana,New Orleans,Fishing,M,0
5104,1914.07.07,1914.07.07,1914,07,Unknown,CROATIA,Primorje-Gorski Kotar County,Rijeka,Others,M,0
5105,1914.06.12,1914.06.12,1914,06,07:00,MONTENEGRO,Adriatic Sea,Between St. Stjepan and Budva,Fishing,M,0
5106,1914.06.10,1914.06.10,1914,06,Unknown,AUSTRALIA,Victoria,Sandringham,Others,M,1
5107,1914.05.31,1914.05.31,1914,05,Unknown,NEW CALEDONIA,South Province,Noumea,Swimming,M,1
5108,1914.05.14,1914.05.14,1914,05,Unknown,USA,Florida,"Boca Ciega Bay, Pinellas County",Fishing,F,0
5109,1914.03.14.R,1914.03.14,1914,03,Unknown,USA,Florida,"St. Augustine, St Johns County",Swimming,M,1
5110,1914.03.03,1914.03.03,1914,03,Unknown,USA,Hawaii,"Honomu, Hawai'i",Others,M,1
5111,1914.02.09.R,1914.02.09,1914,02,Unknown,AUSTRALIA,South Australia,Marion Bay,Others,M,0
5112,1914.02.03,1914.02.03,1914,02,Unknown,AUSTRALIA,New South Wales,Paramatta River,Others,M,0
5113,1914.01.17.R,1914.01.17,1914,01,Unknown,AUSTRALIA,Queensland,Brisbane,Others,F,0
5115,1913.12.30.R,1913.12.30,1913,12,Unknown,USA,Florida,"Palm Beach, Palm Beach County",Fishing,,0
5116,1913.11.27,1913.11.27,1913,11,Unknown,NIGERIA,Lagos,Lagos,Others,M,1
5117,1913.11.21,1913.11.21,1913,11,Unknown,AUSTRALIA,Queensland,"Sandgate Jetty, Brisbane",Swimming,M,0
5118,1913.09.21,1913.09.21,1913,09,Unknown,USA,Florida,"West Palm Beach, Palm Beach County",Others,M,0
5119,1913.09.03,1913.09.03,1913,09,Unknown,CROATIA,Istria County,Pula,Others,M,0
5120,1913.08.27.R,1913.08.27,1913,08,Unknown,USA,New Jersey,"Lavalette, Ocean County",Others,M,0
5121,1913.08.27.R,1913.08.27,1913,08,Unknown,USA,New Jersey,"Spring Lake, Monmouth County",Others,F,0
5122,1913.08.26.R,1913.08.26,1913,08,Unknown,ITALY,Trieste,,Others,,1
5123,1913.07.12,1913.07.12,1913,07,Unknown,USA,South Carolina,Charleston,Others,M,1
5124,1913.05.21,1913.05.21,1913,05,Unknown,USA,Florida,"John's Pass, Pinellas County",Fishing,M,0
5125,1913.05.02,1913.05.02,1913,05,Unknown,AUSTRALIA,New South Wales,,Others,M,0
5126,1913.03.27,1913.03.27,1913,03,Unknown,SAMOA,Upolu Island,Apia Harbor,Others,M,0
5127,1913.01.00,1913.01.00,1913,01,Unknown,AUSTRALIA,Torres Strait,Thursday Island,Diving,M,0
5131,1912.08.30,1912.08.30,1912,08,Unknown,USA,Georgia,"Tybee Island, Chatham County",Swimming,M,1
5132,1912.07.23,1912.07.23,1912,07,Unknown,USA,South Carolina,Sullivan's Island,Swimming,M,0
5133,1912.07.06.R,1912.07.06,1912,07,Unknown,SOLOMON ISLANDS,Central Province,Savo,Others,M,1
5134,1912.05.04,1912.05.04,1912,05,Unknown,SOUTH AFRICA,KwaZulu-Natal,Durban,Others,M,0
5135,1912.03.18,1912.03.18,1912,03,Unknown,NEW ZEALAND,North Island,Takapuna,Swimming,M,0
5136,1912.02.22,1912.02.22,1912,02,Unknown,AUSTRALIA,Western Australia,Bunbury,Diving,M,0
5137,1912.02.19,1912.02.19,1912,02,16:00,AUSTRALIA,New South Wales,Coogee,Swimming,M,0
5138,1912.02.03,1912.02.03,1912,02,Unknown,NEW CALEDONIA,South Province,Noumea,Swimming,M,0
5139,1912.01.26,1912.01.26,1912,01,15:00,AUSTRALIA,New South Wales,"Fig Tree Bridge, Lane Cove River, near Sydney",Swimming,M,1
5140,1912.01.13.R,1912.01.13,1912,01,Unknown,FIJI,Viti Levu group,Beqa,Others,M,1
5141,1912.01.06,1912.01.06,1912,01,Unknown,AUSTRALIA,New South Wales,Sydney Harbor,Others,M,0
5142,1912.01.01,1912.01.01,1912,01,Unknown,AUSTRALIA,Queensland,Ross Creek,Others,M,1
5144,1911.11.08,1911.11.08,1911,11,Unknown,USA,Florida,"Pensacola Bay, Escambia County",Others,M,1
5145,1911.10.26,1911.10.26,1911,10,Unknown,USA,South Carolina,Off Charleston,Others,M,1
5146,1911.10.25,1911.10.25,1911,10,Unknown,AUSTRALIA,Queensland,Great Barrier Reef,Diving,M,0
5147,1911.09.23,1911.09.23,1911,09,Unknown,USA,Texas,Galveston Ship Channel,Others,M,1
5148,1911.09.20,1911.09.20,1911,09,Unknown,USA,Florida,"Pensacola Bay, Escambia County",Swimming,M,1
5149,1911.09.17,1911.09.17,1911,09,Unknown,USA,Florida,"Pablo Beach, Jacksonville, Duval County",Others,M,0
5150,1911.07.31.R,1911.07.31,1911,07,Unknown,SPAIN,Málaga,Ceuta,Others,M,1
5151,1911.07.16.R,1911.07.16,1911,07,Unknown,USA,Delaware,Delaware Lightship,Fishing,M,0
5152,1911.05.09,1911.05.09,1911,05,Unknown,SOUTH AFRICA,Western Cape Province,Victoria Bay,Others,M,1
5153,1911.05.01.R,1911.05.01,1911,05,Unknown,USA,Texas,"Rockport, Aransas County",Fishing,M,0
5154,1911.05.01,1911.05.01,1911,05,Unknown,SOUTH AFRICA,Western Cape Province,Victoria Bay,Swimming,M,1
5155,1911.04.08.R,1911.04.08,1911,04,Unknown,NEW ZEALAND,Chatham Islands,,Fishing,,0
5156,1911.03.29.R,1911.03.29,1911,03,Unknown,AUSTRALIA,Torres Strait,Thursday Island,Swimming,M,1
5157,1911.01.04,1911.01.04,1911,01,Unknown,AUSTRALIA,Western Australia,Off Legendre Island,Others,M,0
5160,1910.12.25.R,1910.12.25,1910,12,Unknown,CROATIA,Primorje-Gorski Kotar County,Rijeka,Others,M,1
5161,1910.12.23.R,1910.12.23,1910,12,Unknown,AUSTRALIA,Western Australia,Fremantle,Others,M,1
5162,1910.11.28,1910.11.28,1910,11,Unknown,NORTH ATLANTIC OCEAN,Georges Bank,,Fishing,M,0
5163,1910.11.24,1910.11.24,1910,11,Unknown,AUSTRALIA,Queensland,Mackay,Others,M,0
5164,1910.06.25.R,1910.06.25,1910,06,Unknown,MEXICO,,LaBarra,Swimming,M,0
5165,1910.06.08.R,1910.06.08,1910,06,Unknown,MOZAMBIQUE,Zambesi River,Portuguese territory,Swimming,,1
5166,1910.05.16.R,1910.05.16,1910,05,Unknown,USA,Alabama,"Off Fort Gaines, Dauphin Island, Mobile County",Others,M,0
5167,1910.03.31,1910.03.31,1910,03,Unknown,PANAMA,Colón Province,Cristobal,Others,M,1
5168,1910.03.08,1910.03.08,1910,03,Unknown,NEW ZEALAND,North Island,"Waikanae Beach, Gisborne",Swimming,M,0
5169,1910.03.00,1910.03.00,1910,03,Unknown,USA,Hawaii,"Pearl Harbor, O'ahu",Diving,M,0
5170,1910.02.16,1910.02.16,1910,02,Unknown,AUSTRALIA,Western Australia,Bunbury,Surfing,M,0
5171,1910.01.26,1910.01.26,1910,01,Unknown,AUSTRALIA,New South Wales,Newcastle Harbor,Others,M,1
5174,1909.12.26.R,1909.12.26,1909,12,Unknown,USA,Florida,"16 miles north of Fort Pierce Inlet, Indian River County",Others,M,0
5175,1909.12.15.R,1909.12.15,1909,12,Unknown,AUSTRALIA,New South Wales,20 miles off Sydney,Others,M,1
5176,1909.12.05,1909.12.05,1909,12,Unknown,AUSTRALIA,New South Wales,Bondi,Fishing,M,0
5177,1909.11.14,1909.11.14,1909,11,Unknown,INDONESIA,30 nm from Singapore,Rhio Strait,Others,,1
5178,1909.09.04.R,1909.09.04,1909,09,Unknown,USA,Delaware,"Lewes, Sussex County",Others,M,0
5179,1909.08.13,1909.08.13,1909,08,Unknown,USA,Florida,"Pensacola Bay, Escambia County",Fishing,M,1
5180,1909.07.24,1909.07.24,1909,07,Unknown,USA,New York,Rockaway,Fishing,M,0
5181,1909.07.15,1909.07.15,1909,07,Unknown,USA,Florida,"Panama City, Bay County",Swimming,M,0
5182,1909.06.26.a.R,1909.06.26.a,1909,06,Unknown,MEXICO,Guerrero,Zacatula,Others,F,1
5183,1909.06.26.b.R,1909.06.26.b,1909,06,Unknown,SOUTH AFRICA,Western Cape Province,Cape Town,Others,M,1
5184,1909.06.18,1909.06.18,1909,06,Unknown,AUSTRALIA,Queensland,"Middleton Reef, 300 nm from Brisbane",Others,M,1
5185,1909.04.27.R,1909.04.27,1909,04,Unknown,SPAIN,Andalucia,"Puente Mayorga, San Roque, Cádiz",Fishing,M,0
5186,1909.04.10,1909.04.10,1909,04,Unknown,USA,Hawaii,"Pa'uwela, Maui",Others,F,1
5187,1909.04.09.R,1909.04.09,1909,04,Unknown,TUNISIA,Sfax,,Diving,M,1
5188,1909.03.06,1909.03.06,1909,03,Unknown,SOUTH AFRICA,South Atlantic Ocean,Possession Island,Others,F,1
5189,1909.01.17,1909.01.17,1909,01,Unknown,,,Near the equator,Others,M,1
5190,1909.01.00,1909.01.00,1909,01,Unknown,ITALY,Sicily,"Off Capo San Croce, near Augusta (Catania)",Others,,1
5192,1908.12.31,1908.12.31,1908,12,Unknown,SOUTH AFRICA,Western Cape Province,Stilbaai,Swimming,M,1
5193,1908.12.16.R,1908.12.16,1908,12,Unknown,MEXICO,Quintana Roo,,Swimming,M,1
5194,1908.09.21,1908.09.21,1908,09,Unknown,AUSTRALIA,Torres Strait,Thursday Island,Others,M,1
5195,1908.09.05,1908.09.05,1908,09,Unknown,USA,California,"Redondo, Los Angeles County",Fishing,M,0
5196,1908.08.28.R,1908.08.28,1908,08,Unknown,SPAIN,Galicia,Cape Finisterre,Others,M,1
5197,1908.07.18.R,1908.07.18,1908,07,Unknown,SPAIN,Canary Islands,"Tazacorte, La Palma",Others,,1
5198,1908.07.08.R,1908.07.08,1908,07,Unknown,CROATIA,Adriatic Sea,Medola,Others,F,1
5199,1908.06.18,1908.06.18,1908,06,Unknown,EGYPT,Gulf of Suez,Off Ras Gharib,Others,M,1
5200,1908.06.08,1908.06.08,1908,06,Unknown,USA,Georgia,,Others,M,1
5201,1908.06.02.R,1908.06.02,1908,06,Unknown,PAPUA NEW GUINEA,New Britain,Matupi,Others,.,1
5202,1908.05.13,1908.05.13,1908,05,Unknown,INDONESIA,Java,Jakarta Harbor,Others,,1
5203,1908.05.10,1908.05.10,1908,05,Unknown,USA,Florida,"Marathon, Monroe County",Others,M,1
5204,1908.01.08,1908.01.08,1908,01,Unknown,USA,Hawaii,"Mana, Kaua'i",Fishing,M,1
5205,1907.12.21,1907.12.21,1907,12,Unknown,AUSTRALIA,New South Wales,"Middle Harbour, Sugarloaf Bay, Sydney (Estuary)",Others,M,1
5206,1907.10.18.R,1907.10.18,1907,10,Unknown,AUSTRALIA,Torres Strait,Near Thursday Island,Others,M,1
5207,1907.10.16.R,1907.10.16,1907,10,Unknown,CHINA,Hong Kong,"Sharp Peak, Sai Kung Peninsula, New Territories",Fishing,M,0
5208,1907.10.16.R,1907.10.16,1907,10,Unknown,CHINA,Hong Kong,"Sharp Peak, Sai Kung Peninsula, New Territories",Fishing,M,1
5209,1907.10.14,1907.10.14,1907,10,11:00,AUSTRALIA,New South Wales,"Merewether Beach, near Newcastle",Others,M,0
5210,1907.10.12,1907.10.12,1907,10,Unknown,HAITI,Tiburon Peninsula,Aux Cayes (now Les Cayes),Others,M,0
5211,1907.10.08,1907.10.08,1907,10,09:00,USA,Hawaii,"Kalepolepo, Kihei, Maui",Fishing,M,0
5212,1907.09.18.R,1907.09.18,1907,09,Unknown,UNITED KINGDOM,English Channel,,Swimming,M,0
5213,1907.09.11,1907.09.11,1907,09,Unknown,CROATIA,"Split-Dalmatia Count,","Sucurja, Hvar Island,",Swimming,F,1
5214,1907.08.12.b..R,1907.08.12.b.,1907,08,Unknown,CROATIA,Primorje-Gorski Kotar County,Krk Island,Swimming,F,1
5215,1907.08.12.a..R,1907.08.12.a.,1907,08,Unknown,CROATIA,Primorje-Gorski Kotar County,Krk Island,Swimming,M,1
5216,1907.08.08.R,1907.08.08,1907,08,Unknown,USA,New Jersey,Lower Delaware Bay,Others,M,0
5217,1907.07.14.R,1907.07.14,1907,07,Unknown,CROATIA,"Split-Dalmatia Count,","Suuraj, Hvar Island",Swimming,F,1
5218,1907.07.04.R,1907.07.04,1907,07,Unknown,AUSTRALIA,Queensland,Karra Garra,Others,M,1
5219,1907.07.00,1907.07.00,1907,07,Unknown,USA,South Carolina,Small creek near Coles Island,Others,M,0
5220,1907.04.20,1907.04.20,1907,04,Unknown,MEXICO,Oaxaca,Salina Cruz,Others,M,0
5221,1907.03.26,1907.03.26,1907,03,Unknown,USA,Florida,"Garden Key, Charlotte County",Fishing,M,1
5222,1907.03.07,1907.03.07,1907,03,Unknown,MALTA,Harare Province,Marsaskala,Fishing,M,1
5223,1907.02.09,1907.02.09,1907,02,Unknown,PHILIPPINES,Luzon Island,Manila Bay,Others,M,0
5224,1907.02.05,1907.02.05,1907,02,Unknown,NEW ZEALAND,South Island,Port Moeraki,Others,M,1
5225,1907.02.03,1907.02.03,1907,02,Unknown,AUSTRALIA,Queensland,Ross Creek,Others,M,1
5228,1906.11.16,1906.11.16,1906,11,Unknown,JAMAICA,Westmoreland Parish,Cabaritta River mouth,Fishing,M,0
5229,1906.10.10.d.R,1906.10.10.d,1906,10,Unknown,USA,Hawaii,,Others,M,0
5230,1906.10.10.c.R,1906.10.10.c,1906,10,Unknown,USA,Hawaii,,Swimming,M,1
5231,1906.10.10.b.R,1906.10.10.b,1906,10,Unknown,USA,Hawaii,,Diving,M,0
5232,1906.10.10.a.R,1906.10.10.a,1906,10,Unknown,USA,Hawaii,,Swimming,M,1
5233,1906.09.27.R.b,1906.09.27.R,1906,09,Unknown,INDONESIA,Java,Lorok Bay,Swimming,M,0
5234,1906.09.27.R.a,1906.09.27.R,1906,09,Unknown,INDONESIA,Java,Lorok Bay,Swimming,M,1
5235,1906.09.05.R,1906.09.05,1906,09,Unknown,AUSTRALIA,Torres Strait,Mabiuag,Swimming,M,1
5236,1906.09.00,1906.09.00,1906,09,Unknown,USA,California,"Avalon, Los Angeles County",Fishing,M,0
5237,1906.08.20,1906.08.20,1906,08,Unknown,YEMEN,Aden,,Diving,M,0
5238,1906.08.04,1906.08.04,1906,08,Unknown,USA,Maryland,"Tangier Sound, Somerset County",Others,M,1
5239,1906.07.05.R,1906.07.05,1906,07,Unknown,USA,Mississippi,"Bay St. Louis, Hancock County",Swimming,M,1
5240,1906.07.00,1906.07.00,1906,07,Unknown,MOZAMBIQUE,Maputo Province,Lourenco Marques,Others,M,1
5241,1906.04.27.R,1906.04.27,1906,04,Unknown,INDONESIA,Maluku Province,Aru Islands,Diving,M,1
5242,1906.04.16,1906.04.16,1906,04,Unknown,AUSTRALIA,Victoria,Western Port Bay,Others,M,0
5243,1906.04.14,1906.04.14,1906,04,Unknown,AUSTRALIA,Queensland,Lizard Island,Diving,M,1
5244,1906.04.10.R.a & b,1906.04.10.R.a &,1906,04,Unknown,INDONESIA,,40 miles from Tahane Island,Others,M,1
5245,1906.04.02.R,1906.04.02,1906,04,Unknown,AUSTRALIA,New South Wales,Moodie Beach,Others,M,1
5246,1906.02.14.R,1906.02.14,1906,02,Unknown,NEW ZEALAND,North Island,Mototapu Island,Swimming,M,1
5247,1906.01.28,1906.01.28,1906,01,14:10,AUSTRALIA,New South Wales,Georges River,Others,M,1
5248,1906.01.20,1906.01.20,1906,01,12:00,SOUTH AFRICA,KwaZulu-Natal,"Battery Beach, Durban",Others,M,1
5249,1905.12.31,1905.12.31,1905,12,Unknown,SOUTH AFRICA,KwaZulu-Natal,"Back Beach, Durban",Others,M,1
5250,1905.12.29,1905.12.29,1905,12,Unknown,AUSTRALIA,Western Australia,Geraldton,Others,M,0
5251,1905.11.17.R,1905.11.17,1905,11,Unknown,MEDITERRANEAN SEA,,,Others,M,1
5252,1905.09.29,1905.09.29,1905,09,Unknown,AUSTRALIA,New South Wales,"Waverly, Sydney",Swimming,M,1
5253,1905.08.00.b,1905.08.00,1905,08,Unknown,USA,New Jersey,"Atlantic City, Atlantic County",Fishing,M,0
5254,1905.08.00.a,1905.08.00,1905,08,Unknown,PHILIPPINES,Luzon Island,Manila Bay,Others,M,0
5255,1905.07.29,1905.07.29,1905,07,Unknown,USA,North Carolina,"Davis Shore, east of Beaufor, Carteret Countyt",Others,M,1
5256,1905.07.25.R,1905.07.25,1905,07,Unknown,ITALY,,Naples,Others,M,1
5257,1905.07.00,1905.07.00,1905,07,Unknown,USA,North Carolina,"Ocracoke, Hyde County",Fishing,M,1
5258,1905.05.22,1905.05.22,1905,05,Unknown,USA,Florida,"Pablo Beach, Jacksonville, Duval County",Swimming,M,0
5259,1905.04.06,1905.04.06,1905,04,16:30,SOUTH AFRICA,KwaZulu-Natal,"Back Beach, Durban",Swimming,M,1
5260,1905.03.26,1905.03.26,1905,03,Unknown,AUSTRALIA,New South Wales,Lismore,Others,M,0
5261,1905.03.25,1905.03.25,1905,03,Unknown,AUSTRALIA,Tasmania,Bridport,Others,,1
5262,1905.02.10,1905.02.10,1905,02,Unknown,AUSTRALIA,Victoria,Elwood,Others,M,1
5263,1905.01.01,1905.01.01,1905,01,Unknown,AUSTRALIA,Victoria,Elwood,Others,M,1
5265,1904.11.02,1904.11.02,1904,11,Unknown,PHILIPPINES,Luzon Island,"Inner Harbor, Olongapo",Others,M,0
5266,1904.10.11.R,1904.10.11,1904,10,Unknown,INDIAN OCEAN,Between Noumea & Sydney,,Others,M,1
5267,1904.09.00,1904.09.00,1904,09,Unknown,CUBA,Havana Province,Havana Harbor,Others,M,1
5268,1904.08.00,1904.08.00,1904,08,Unknown,CUBA,Villa Clara Province,Caibarien Harbor,Others,M,1
5269,1904.07.28,1904.07.28,1904,07,Unknown,USA,New Jersey,"Shrewsbury River,  Monmouth County",Others,M,0
5270,1904.07.27,1904.07.27,1904,07,Unknown,USA,Texas,,Swimming,M,1
5271,1904.07.01.R,1904.07.01,1904,07,Unknown,ITALY,Ancona Province,Ancona,Swimming,M,1
5272,1904.02.07,1904.02.07,1904,02,Unknown,AUSTRALIA,Queensland,Brisbane,Swimming,M,1
5273,1904.02.04,1904.02.04,1904,02,Unknown,NEW ZEALAND,North Island,Waitara,Swimming,M,1
5274,1904.01.23,1904.01.23,1904,01,Unknown,NEW CALEDONIA,South Province,Noumea,Others,M,1
5278,1903.10.04,1903.10.04,1903,10,Unknown,CUBA,Havana Province,Havana Harbor,Others,M,1
5279,1903.09.16.R,1903.09.16,1903,09,Unknown,USA,New Jersey,"Atlantic City, Atlantic County",Fishing,M,0
5280,1903.07.00,1903.07.00,1903,07,Unknown,FALKLAND ISLANDS,,,Swimming,M,0
5281,1903.06.21,1903.06.21,1903,06,Unknown,AUSTRALIA,New South Wales,Georges River,Swimming,M,1
5282,1903.05.04,1903.05.04,1903,05,Unknown,MEXICO,Veracruz,Coatzacoalcos,Others,M,1
5283,1903.03.20.R,1903.03.20,1903,03,Unknown,AUSTRALIA,New South Wales,Sydney,Others,M,1
5284,1903.03.12,1903.03.12,1903,03,Unknown,AUSTRALIA,Queensland,Logan River,Swimming,M,1
5285,1903.01.10,1903.01.10,1903,01,Unknown,AUSTRALIA,New South Wales,"Lane Cove River, Sydney Harbor (Estuary)",Others,M,1
5288,1902.12.22.R,1902.12.22,1902,12,18:00,NICARAGUA,Rio San Juan,Greytown,Swimming,M,1
5289,1902.11.10,1902.11.10,1902,11,Unknown,AUSTRALIA,New South Wales,"Middle Harbour, Sydney",Swimming,M,1
5290,1902.11.01.R,1902.11.01,1902,11,Unknown,USA,Texas,"Near Port Lavaca, Calhoun County",Fishing,M,0
5291,1902.08.28.R,1902.08.28,1902,08,Unknown,ITALY,Calabria,Nicotera,Swimming,M,1
5292,1902.08.24.R,1902.08.24,1902,08,Unknown,CROATIA,Istria County,Porec,Fishing,M,0
5293,1902.08.08,1902.08.08,1902,08,Unknown,USA,Hawaii,"Kalihi, O'ahu",Others,M,1
5294,1902.07.15,1902.07.15,1902,07,Unknown,ITALY,Liguria,"Galliera dock, Genoa",Fishing,M,0
5295,1902.07.06,1902.07.06,1902,07,Unknown,USA,New Jersey,"Atlantic City, Atlantic County",Swimming,M,0
5296,1902.06.02,1902.06.02,1902,06,Unknown,PHILIPPINES,Zamboanga del Sur Province,"Near mouth of River Cumalarang, 5 miles from Port Isabela, Basilan Island",Others,M,0
5297,1902.06.00,1902.06.00,1902,06,Unknown,EGYPT,Mediterranean Sea,"Tzortzou Reef, Marsa Matruh",Diving,M,0
5298,1902.04.00,1902.04.00,1902,04,Unknown,SOUTH AFRICA,Eastern Cape Province,Algoa Bay,Swimming,M,1
5299,1902.02.22.R,1902.02.22,1902,02,Unknown,NEW ZEALAND,North Island,Poverty Bay,Others,M,0
5300,1902.01.25.R,1902.01.25,1902,01,Unknown,AUSTRALIA,New South Wales,Kerosene Bay,Others,M,1
5301,1902.01.19.R,1902.01.19,1902,01,Unknown,SOUTH AFRICA,KwaZulu-Natal,Durban,Others,M,1
5302,1902.01.19,1902.01.19,1902,01,12:00,AUSTRALIA,Queensland,Brisbane,Swimming,M,0
5303,1901.12.01,1901.12.01,1901,12,Unknown,AUSTRALIA,Queensland,Brisbane,Others,M,0
5304,1901.10.00,1901.10.00,1901,10,Unknown,PHILIPPINES,Zamboanga del Sur Province,Port Isabela de Basilan,Fishing,M,0
5305,1901.09.23.R,1901.09.23,1901,09,Unknown,CYPRUS,Southern Cyprus,Larnaca,Swimming,M,1
5306,1901.07.30,1901.07.30,1901,07,14:15,SOUTH AFRICA,Western Cape Province,Windmill Beach,Swimming,M,1
5307,1901.07.17,1901.07.17,1901,07,Unknown,ITALY,Syracuse,Capo Santa Croce,Swimming,M,
5308,1901.06.29.R,1901.06.29,1901,06,Unknown,YEMEN,Aden,,Diving,M,0
5309,1901.06.24,1901.06.24,1901,06,15:00,PHILIPPINES,Western Viscayas,"Island of Panay, Iliolo",Swimming,M,0
5310,1901.01.30,1901.01.30,1901,01,Unknown,AUSTRALIA,Queensland,Brisbane,Others,M,1
5312,1900.12.27,1900.12.27,1900,12,Unknown,AUSTRALIA,New South Wales,"Middle Harbour, Sydney",Others,M,1
5313,1900.11.14,1900.11.14,1900,11,Unknown,SOUTH AFRICA,Western Cape Province,Three Anchor Bay,Swimming,M,1
5314,1900.10.27,1900.10.27,1900,10,Unknown,SOUTH AFRICA,Western Cape Province,"Woodstock Beach, Cape Town",Swimming,M,1
5315,1900.09.15,1900.09.15,1900,09,Unknown,AUSTRALIA,Queensland,Townsville,Swimming,M,0
5316,1900.09.13,1900.09.13,1900,09,Unknown,USA,Rhode Island,Coddington Cove,Diving,M,0
5317,1900.09.05,1900.09.05,1900,09,Unknown,USA,Hawaii,"Waikiki Beach, Oahu",Others,M,0
5318,1900.08.21,1900.08.21,1900,08,Unknown,USA,North Carolina,"Southport, Brunswick County",Others,M,0
5319,1900.07.31,1900.07.31,1900,07,Unknown,CROATIA,Primorje-Gorski Kotar County,"Volosko, Opatija",Swimming,M,1
5320,1900.07.14,1900.07.14,1900,07,Unknown,USA,Hawaii,"Makapu'u Point, O'ahu",Others,M,1
5321,1900.07.00,1900.07.00,1900,07,Unknown,USA,Connecticut,"Bridgeport, Fairfield County",Others,,0
5322,1900.01.28,1900.01.28,1900,01,12:00,AUSTRALIA,New South Wales,"Lane Cove River, Sydney Harbor (Estuary)",Others,M,0
5325,1899.12.18,1899.12.18,1899,12,Unknown,AUSTRALIA,Queensland,Tingalpa Creek,Others,M,0
5326,1899.11.20,1899.11.20,1899,11,Unknown,PHILIPPINES,Mindoro Occidental,Off Lubang Island,Others,,1
5327,1899.10.12.b,1899.10.12,1899,10,Unknown,LIBYA,Mediterranean Sea,Off Bengasi,Diving,M,0
5328,1899.10.12.a,1899.10.12,1899,10,Unknown,LIBYA,Mediterranean Sea,Off Bengasi,Diving,M,1
5329,1899.09.11.R,1899.09.11,1899,09,Unknown,MEXICO,Tamaulipas,Tampico,Swimming,M,1
5330,1899.08.23.R,1899.08.23,1899,08,Unknown,USA,California,"Monterey Bay, Monterey County",Others,M,1
5331,1899.08.15,1899.08.15,1899,08,Unknown,USA,Florida,"Trout River, Panama Park",Swimming,M,1
5332,1899.08.08.c,1899.08.08,1899,08,11:30,EGYPT,Mediterranean Sea,Port Said,Others,M,0
5333,1899.08.08.b,1899.08.08,1899,08,09:30,EGYPT,Mediterranean Sea,Port Said,Others,M,0
5334,1899.08.08.a,1899.08.08,1899,08,08:30,EGYPT,Mediterranean Sea,Port Said,Others,M,0
5335,1899.07.08.R,1899.07.08,1899,07,Unknown,BAHAMAS,,,Others,M,1
5336,1899.06.07,1899.06.07,1899,06,Unknown,ITALY,Calabria,Bagnara Calabra,Fishing,M,0
5337,1899.06.02,1899.06.02,1899,06,Unknown,NEW ZEALAND,North Island,East Cape,Others,M,1
5338,1899.05.28,1899.05.28,1899,05,Unknown,PHILIPPINES,Negros,Escalante,Swimming,M,1
5339,1899.05.04.R,1899.05.04,1899,05,Unknown,ITALY,Imperia Province,Bordighera,Others,M,1
5340,1899.01.28,1899.01.28,1899,01,Unknown,AUSTRALIA,New South Wales,Newcastle,Others,F,1
5344,1898.12.28.R,1898.12.28,1898,12,Unknown,AUSTRALIA,Queensland,The Narrows,Others,M,1
5345,1898.10.28,1898.10.28,1898,10,Unknown,USA,Hawaii,Off Kohala,Others,M,1
5346,1898.09.19.b.R,1898.09.19.b,1898,09,Unknown,,,,Diving,M,0
5347,1898.09.19.a.R,1898.09.19.a,1898,09,Unknown,,,,Diving,M,0
5348,1898.08.22,1898.08.22,1898,08,Unknown,USA,New York,"Prince's Bay, Staten Island",Swimming,M,0
5349,1898.07.26.R,1898.07.26,1898,07,Unknown,AUSTRALIA,New South Wales,Sydney,Swimming,,1
